scenario,ground_truth_item,pf,evtx,sbags,correlated,reproducibility,notes
S03,Level-2 folder browsed,N/A,N/A,PASS,PART,N/A,BagMRU Desktop\...\level2_a
S03,Level-3 folder browsed,N/A,N/A,PASS,PART,N/A,BagMRU Desktop\...\level3_a
S03,Level-4 folder browsed,N/A,N/A,PASS,PART,N/A,BagMRU Desktop\...\level4_a
S03,Level-5 folder browsed,N/A,N/A,PASS,PASS,N/A,BagMRU deepest target + namespace refresh (hive flush)
S03,Sibling folder NOT browsed (negative control),N/A,N/A,PASS,PASS,N/A,no BagMRU entry for unvisited siblings; negative control satisfied
S05,File deleted to Recycle Bin,FAIL,FAIL,N/A,FAIL,N/A,3-artefact gap; requires $I/$R parse of C:\$Recycle.Bin
S05,Recycle Bin emptied,PART,PART,N/A,PART,N/A,MPCMDRUN Defender-scan burst is indirect inference only
S06,Interactive logon (type 2) at T1,N/A,PASS,N/A,PASS,N/A,Winlogon 7001 UserSID logon + Security 4624 in A01 transition
S06,Workstation locked at T2,N/A,PART,N/A,PART,N/A,Security 4800 audit subcategory off by default; UIEOrchestrator PF proxy
S06,Workstation unlocked at T3,N/A,FAIL,N/A,FAIL,N/A,Security 4801 audit subcategory off; no trace across any class
S06,Logoff at T4,N/A,PASS,N/A,PASS,N/A,Security 4647 + Winlogon 7002 + shell-rebuild PF cluster
S08,cmd.exe executed,PASS,PASS,N/A,PASS,N/A,PF cmd + conhost + opencaonsole + windowsterminal cluster
S08,whoami invoked with args,N/A,PASS,N/A,PASS,N/A,Security 4798/4799 group-enum syscall fingerprint
S08,dir invoked with args,N/A,FAIL,N/A,FAIL,N/A,cmd built-in; requires 4688 CommandLine audit which is off
S08,powershell.exe executed,PASS,PART,N/A,PART,N/A,Terminal/OpenConsole PF confirms console launch but powershell.exe PF landed in prior window
S08,Get-Process invoked,N/A,FAIL,N/A,FAIL,N/A,PS cmdlet inside powershell.exe; no new binary and no PS logging enabled
S09,Chrome launched,PASS,PASS,N/A,PASS,N/A,Chrome sandbox PF cluster + 4688 burst + Chrome Application EID 256
S09,URL 1 visited (westminster.ac.uk),N/A,PASS,N/A,PASS,N/A,mapped to A02 UoW nav: CAPI2 4097 GlobalSign
S09,URL 2 visited (bbc.co.uk),N/A,PART,N/A,PART,N/A,chrome helper churn only; CAPI2 silent (TLS chain cached)
S09,URL 3 visited (Wikipedia digital forensics),N/A,PART,N/A,PART,N/A,Wikipedia nav: chrome-parented 4688 only
S09,File downloaded,PASS,PASS,N/A,PASS,N/A,Acrobat PF cluster on PDF open post-download + chrome-parented 4688
S09,Downloads folder opened in Explorer,PART,PASS,PASS,PASS,N/A,BagMRU Desktop\Downloads + 4663 object access on Downloads path
S10,Clean shutdown at T1,PASS,PASS,N/A,PASS,N/A,Kernel-Power 109 + User32 1074 + Security 4647 + Winlogon 7002 + EventLog 1100
S10,Power-on at T2,FAIL,FAIL,N/A,FAIL,N/A,VM off during window; no artefact possible by design
S10,Interactive logon after boot at T3,N/A,FAIL,N/A,FAIL,N/A,boot EVTX (EID 20/6005/6009/4608/7001) windowed to A01 due to ~3min guest-vs-host clock skew
